"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",4,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",7,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",15,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",18,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,00"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",21,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","3,00"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",24,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",27,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",35,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,00"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",38,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",41,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,60"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",5,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,00"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",14,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",11,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",34,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,00"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",28,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,00"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",25,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","0,90"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",17,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,10"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",37,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,40"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",31,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,00"
