"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Stege Bugt","Stege Bugt","2015-03-19",17,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,90"
"Stege Bugt","Stege Bugt","2015-03-19",20,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Stege Bugt","Stege Bugt","2015-03-19",23,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Stege Bugt","Stege Bugt","2015-03-19",26,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,20"
"Stege Bugt","Stege Bugt","2015-03-19",29,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Stege Bugt","Stege Bugt","2015-03-19",37,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Stege Bugt","Stege Bugt","2015-03-19",40,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","4,00"
"Stege Bugt","Stege Bugt","2015-03-19",5,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,00"
"Stege Bugt","Stege Bugt","2015-03-19",8,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,10"
"Stege Bugt","Stege Bugt","2015-03-19",11,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Stege Bugt","Stege Bugt","2015-03-19",14,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Stege Bugt","Stege Bugt","2015-03-19",22,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,50"
"Stege Bugt","Stege Bugt","2015-03-19",25,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,80"
"Stege Bugt","Stege Bugt","2015-03-19",28,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",31,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",34,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Stege Bugt","Stege Bugt","2015-03-19",42,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Stege Bugt","Stege Bugt","2015-03-19",24,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,40"
"Stege Bugt","Stege Bugt","2015-03-19",18,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",41,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,50"
"Stege Bugt","Stege Bugt","2015-03-19",12,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,50"
"Stege Bugt","Stege Bugt","2015-03-19",35,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Stege Bugt","Stege Bugt","2015-03-19",38,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,10"
